%time,field.header.seq,field.header.stamp,field.header.frame_id,field.vector.x,field.vector.y,field.vector.z
1661394742911464563,8927,1661394742911464563,imu,-0.508377,-0.474849,0.173762
1661394742916389218,8928,1661394742916389218,imu,-0.510307,-0.475044,0.173159
1661394742921521739,8929,1661394742921521739,imu,-0.512674,-0.474666,0.172813
1661394742931099063,8930,1661394742931099063,imu,-0.51512,-0.47452,0.172777
1661394742931465482,8931,1661394742931465482,imu,-0.518339,-0.473815,0.172437
1661394742936562800,8932,1661394742936562800,imu,-0.509471,-0.475849,0.174242
1661394742941580003,8933,1661394742941580003,imu,-0.511814,-0.476598,0.167601
1661394742946450456,8934,1661394742946450456,imu,-0.522755,-0.477152,0.160305
1661394742951437694,8935,1661394742951437694,imu,-0.551132,-0.475272,0.158573
1661394742956573358,8936,1661394742956573358,imu,-0.574673,-0.476322,0.163264
1661394742961510585,8937,1661394742961510585,imu,-0.569167,-0.476978,0.171063
1661394742973438132,8938,1661394742973438132,imu,-0.540067,-0.471877,0.169077
1661394742973617570,8939,1661394742973617570,imu,-0.52518,-0.463616,0.147848
1661394742976532019,8940,1661394742976532019,imu,-0.525023,-0.465496,0.12019
1661394742981535252,8941,1661394742981535252,imu,-0.539615,-0.474215,0.103409
1661394742986578089,8942,1661394742986578089,imu,-0.559636,-0.479682,0.102637
1661394742991506725,8943,1661394742991506725,imu,-0.566408,-0.478642,0.11023
1661394742996436339,8944,1661394742996436339,imu,-0.554235,-0.475923,0.111488
1661394743001396197,8945,1661394743001396197,imu,-0.534004,-0.475632,0.106741
1661394743006522638,8946,1661394743006522638,imu,-0.529867,-0.474562,0.103957
1661394743020863933,8947,1661394743020863933,imu,-0.539935,-0.476978,0.105111
1661394743021137315,8948,1661394743021137315,imu,-0.55546,-0.479846,0.105114
1661394743021637141,8949,1661394743021637141,imu,-0.566652,-0.479906,0.103918
1661394743026527908,8950,1661394743026527908,imu,-0.572681,-0.477859,0.102716
1661394743031467358,8951,1661394743031467358,imu,-0.578153,-0.476343,0.101482
1661394743036398566,8952,1661394743036398566,imu,-0.593754,-0.474171,0.099194
1661394743041537639,8953,1661394743041537639,imu,-0.606661,-0.472363,0.104595
1661394743046504540,8954,1661394743046504540,imu,-0.574873,-0.480106,0.13069
1661394743051413397,8955,1661394743051413397,imu,-0.516693,-0.501398,0.16098
1661394743063177192,8956,1661394743063177192,imu,-0.508502,-0.525699,0.17472
1661394743063546754,8957,1661394743063546754,imu,-0.545889,-0.546972,0.171899
