%time,field.header.seq,field.header.stamp,field.header.frame_id,field.vector.x,field.vector.y,field.vector.z
1661321100033328086,35524,1661321100033328086,imu,-0.54063,-0.020143,-0.866445
1661321100038427849,35525,1661321100038427849,imu,-0.541532,-0.019908,-0.866307
1661321100043255862,35526,1661321100043255862,imu,-0.542447,-0.019822,-0.866614
1661321100048356812,35527,1661321100048356812,imu,-0.542042,-0.019927,-0.866526
1661321100056326955,35528,1661321100056326955,imu,-0.541561,-0.019935,-0.866392
1661321100058294994,35529,1661321100058294994,imu,-0.541756,-0.019661,-0.866501
1661321100063363469,35530,1661321100063363469,imu,-0.541365,-0.019261,-0.866761
1661321100068331931,35531,1661321100068331931,imu,-0.541356,-0.020124,-0.866517
1661321100073328330,35532,1661321100073328330,imu,-0.541797,-0.020352,-0.866533
1661321100078372080,35533,1661321100078372080,imu,-0.54188,-0.019759,-0.866383
1661321100083765174,35534,1661321100083765174,imu,-0.542162,-0.019194,-0.866404
1661321100088278206,35535,1661321100088278206,imu,-0.542288,-0.018832,-0.866429
1661321100098778884,35536,1661321100098778884,imu,-0.542743,-0.018155,-0.866351
1661321100099300524,35537,1661321100099300524,imu,-0.543932,-0.017468,-0.86652
1661321100103384036,35538,1661321100103384036,imu,-0.544353,-0.016787,-0.866235
1661321100108268480,35539,1661321100108268480,imu,-0.544735,-0.015694,-0.86629
1661321100113386960,35540,1661321100113386960,imu,-0.544773,-0.015135,-0.866431
1661321100118306953,35541,1661321100118306953,imu,-0.544954,-0.015139,-0.866426
1661321100123276324,35542,1661321100123276324,imu,-0.545137,-0.015098,-0.866914
1661321100128396759,35543,1661321100128396759,imu,-0.545798,-0.014758,-0.867304
1661321100140780970,35544,1661321100140780970,imu,-0.54572,-0.014706,-0.867585
1661321100141229137,35545,1661321100141229137,imu,-0.544812,-0.014574,-0.867817
1661321100143316394,35546,1661321100143316394,imu,-0.544326,-0.014178,-0.868036
1661321100148400513,35547,1661321100148400513,imu,-0.543993,-0.013933,-0.8683
1661321100153295433,35548,1661321100153295433,imu,-0.543568,-0.014013,-0.869052
1661321100158385558,35549,1661321100158385558,imu,-0.543941,-0.014406,-0.86966
1661321100163337678,35550,1661321100163337678,imu,-0.544246,-0.014865,-0.869481
1661321100168315150,35551,1661321100168315150,imu,-0.544507,-0.015218,-0.869673
1661321100173254209,35552,1661321100173254209,imu,-0.544267,-0.014994,-0.869979
1661321100182523877,35553,1661321100182523877,imu,-0.544096,-0.015112,-0.870322
1661321100183417348,35554,1661321100183417348,imu,-0.543935,-0.015121,-0.870424
1661321100188293341,35555,1661321100188293341,imu,-0.544281,-0.015471,-0.870475
1661321100193305175,35556,1661321100193305175,imu,-0.544671,-0.01513,-0.870339
1661321100198369389,35557,1661321100198369389,imu,-0.544375,-0.014979,-0.870705
1661321100203300906,35558,1661321100203300906,imu,-0.544889,-0.01564,-0.870853
1661321100208252257,35559,1661321100208252257,imu,-0.54421,-0.015515,-0.870989
1661321100213375556,35560,1661321100213375556,imu,-0.543523,-0.015904,-0.87069
1661321100223216241,35561,1661321100223216241,imu,-0.544003,-0.015758,-0.870666
1661321100223679284,35562,1661321100223679284,imu,-0.54411,-0.015359,-0.870948
1661321100228287439,35563,1661321100228287439,imu,-0.544466,-0.015433,-0.870807
1661321100233372745,35564,1661321100233372745,imu,-0.544242,-0.015764,-0.87051
1661321100238290154,35565,1661321100238290154,imu,-0.543791,-0.015797,-0.870212
1661321100243243461,35566,1661321100243243461,imu,-0.54379,-0.016005,-0.869888
1661321100248394138,35567,1661321100248394138,imu,-0.543303,-0.015922,-0.869418
1661321100253416936,35568,1661321100253416936,imu,-0.543558,-0.015568,-0.869401
1661321100264180704,35569,1661321100264180704,imu,-0.544207,-0.015417,-0.869092
1661321100264952932,35570,1661321100264952932,imu,-0.544368,-0.01476,-0.869231
1661321100268397891,35571,1661321100268397891,imu,-0.543958,-0.014705,-0.869636
1661321100273336671,35572,1661321100273336671,imu,-0.543629,-0.014941,-0.87021
1661321100278213712,35573,1661321100278213712,imu,-0.543536,-0.014872,-0.870157
1661321100283351119,35574,1661321100283351119,imu,-0.5441,-0.015263,-0.870362
1661321100288280401,35575,1661321100288280401,imu,-0.544175,-0.015685,-0.870726
1661321100293227842,35576,1661321100293227842,imu,-0.544096,-0.015512,-0.871096
1661321100306338046,35577,1661321100306338046,imu,-0.544312,-0.016137,-0.871237
1661321100306566634,35578,1661321100306566634,imu,-0.54378,-0.016005,-0.871429
1661321100308306155,35579,1661321100308306155,imu,-0.543647,-0.015993,-0.872077
1661321100313281671,35580,1661321100313281671,imu,-0.543216,-0.015736,-0.872116
1661321100318324793,35581,1661321100318324793,imu,-0.542483,-0.015938,-0.871979
1661321100323261059,35582,1661321100323261059,imu,-0.542416,-0.015939,-0.87173
1661321100328243001,35583,1661321100328243001,imu,-0.542838,-0.015861,-0.871388
1661321100333349748,35584,1661321100333349748,imu,-0.542641,-0.015905,-0.871429
1661321100338289855,35585,1661321100338289855,imu,-0.542578,-0.015501,-0.871439
1661321100345355911,35586,1661321100345355911,imu,-0.542278,-0.01596,-0.871032
1661321100348409902,35587,1661321100348409902,imu,-0.54255,-0.016588,-0.870751
1661321100353392123,35588,1661321100353392123,imu,-0.542585,-0.016841,-0.870655
1661321100358322173,35589,1661321100358322173,imu,-0.542543,-0.016508,-0.870523
1661321100363232319,35590,1661321100363232319,imu,-0.542945,-0.016056,-0.869873
1661321100369596965,35591,1661321100369596965,imu,-0.543432,-0.016236,-0.869298
1661321100373285808,35592,1661321100373285808,imu,-0.544138,-0.016654,-0.868831
1661321100378224239,35593,1661321100378224239,imu,-0.543723,-0.016215,-0.868134
1661321100387737790,35594,1661321100387737790,imu,-0.543637,-0.015929,-0.867409
1661321100388471116,35595,1661321100388471116,imu,-0.543467,-0.016135,-0.866925
1661321100393353954,35596,1661321100393353954,imu,-0.542951,-0.016445,-0.866484
1661321100398382061,35597,1661321100398382061,imu,-0.54269,-0.016615,-0.866167
1661321100403312320,35598,1661321100403312320,imu,-0.541669,-0.016939,-0.866126
1661321100408287906,35599,1661321100408287906,imu,-0.540884,-0.017098,-0.866259
1661321100413236045,35600,1661321100413236045,imu,-0.540589,-0.017046,-0.866603
1661321100418333294,35601,1661321100418333294,imu,-0.540288,-0.016831,-0.867274
1661321100427917314,35602,1661321100427917314,imu,-0.540458,-0.016183,-0.86787
1661321100428708958,35603,1661321100428708958,imu,-0.540651,-0.016144,-0.868661
1661321100433395753,35604,1661321100433395753,imu,-0.54034,-0.016163,-0.869898
1661321100438369663,35605,1661321100438369663,imu,-0.540782,-0.015769,-0.87086
1661321100443254317,35606,1661321100443254317,imu,-0.540788,-0.014817,-0.871259
1661321100448405273,35607,1661321100448405273,imu,-0.541148,-0.014814,-0.871499
1661321100453412567,35608,1661321100453412567,imu,-0.541144,-0.014391,-0.871789
1661321100458291074,35609,1661321100458291074,imu,-0.540879,-0.014617,-0.871585
1661321100466208208,35610,1661321100466208208,imu,-0.540577,-0.015566,-0.871679
1661321100468400436,35611,1661321100468400436,imu,-0.541128,-0.0162,-0.871751
1661321100473409755,35612,1661321100473409755,imu,-0.541698,-0.015642,-0.871865
1661321100478340993,35613,1661321100478340993,imu,-0.542037,-0.015942,-0.871527
1661321100483343886,35614,1661321100483343886,imu,-0.542119,-0.01613,-0.871611
1661321100488302012,35615,1661321100488302012,imu,-0.541647,-0.016143,-0.871621
1661321100493255040,35616,1661321100493255040,imu,-0.541992,-0.016723,-0.87159
1661321100498374289,35617,1661321100498374289,imu,-0.542333,-0.01706,-0.871866
1661321100507248309,35618,1661321100507248309,imu,-0.542526,-0.016872,-0.871735
1661321100508453479,35619,1661321100508453479,imu,-0.542383,-0.017049,-0.87183
1661321100513223943,35620,1661321100513223943,imu,-0.542253,-0.017329,-0.871972
1661321100518438594,35621,1661321100518438594,imu,-0.541939,-0.016956,-0.871861
1661321100524061044,35622,1661321100524061044,imu,-0.542368,-0.017232,-0.871304
1661321100528254974,35623,1661321100528254974,imu,-0.542557,-0.017045,-0.871128
1661321100533380298,35624,1661321100533380298,imu,-0.542586,-0.017214,-0.87088
1661321100538446887,35625,1661321100538446887,imu,-0.54254,-0.017319,-0.870256
1661321100548356434,35626,1661321100548356434,imu,-0.542443,-0.016941,-0.869751
1661321100548690482,35627,1661321100548690482,imu,-0.542551,-0.016838,-0.869526
1661321100553368757,35628,1661321100553368757,imu,-0.543037,-0.017335,-0.869144
1661321100558322972,35629,1661321100558322972,imu,-0.543169,-0.017746,-0.868472
1661321100564343374,35630,1661321100564343374,imu,-0.54332,-0.017944,-0.86796
1661321100568328201,35631,1661321100568328201,imu,-0.54294,-0.018482,-0.866861
1661321100576597751,35632,1661321100576597751,imu,-0.543021,-0.018836,-0.866043
1661321100578312338,35633,1661321100578312338,imu,-0.542606,-0.019462,-0.86542
1661321100589458135,35634,1661321100589458135,imu,-0.542131,-0.019592,-0.864868
1661321100589760475,35635,1661321100589760475,imu,-0.541849,-0.020813,-0.863539
1661321100593386740,35636,1661321100593386740,imu,-0.541642,-0.021338,-0.862562
1661321100598291508,35637,1661321100598291508,imu,-0.541721,-0.022373,-0.861864
1661321100603336655,35638,1661321100603336655,imu,-0.541294,-0.023137,-0.861145
1661321100608274667,35639,1661321100608274667,imu,-0.541357,-0.022747,-0.860913
1661321100613290761,35640,1661321100613290761,imu,-0.541296,-0.022607,-0.860128
1661321100618467558,35641,1661321100618467558,imu,-0.541006,-0.022811,-0.860031
1661321100623301228,35642,1661321100623301228,imu,-0.541124,-0.021877,-0.860733
1661321100628271227,35643,1661321100628271227,imu,-0.540848,-0.021813,-0.860856
1661321100635498545,35644,1661321100635498545,imu,-0.540871,-0.022093,-0.861463
1661321100638385268,35645,1661321100638385268,imu,-0.541018,-0.02198,-0.861983
1661321100643246106,35646,1661321100643246106,imu,-0.540686,-0.021672,-0.862572
1661321100648216035,35647,1661321100648216035,imu,-0.54041,-0.021224,-0.863335
1661321100653362102,35648,1661321100653362102,imu,-0.539801,-0.021984,-0.863823
1661321100658284749,35649,1661321100658284749,imu,-0.53945,-0.022812,-0.864505
1661321100667865697,35650,1661321100667865697,imu,-0.539745,-0.023355,-0.865587
1661321100668503621,35651,1661321100668503621,imu,-0.540062,-0.023623,-0.866389
1661321100673360548,35652,1661321100673360548,imu,-0.540605,-0.0242,-0.867013
1661321100678426997,35653,1661321100678426997,imu,-0.540849,-0.024677,-0.867786
1661321100683419275,35654,1661321100683419275,imu,-0.540823,-0.024411,-0.868087
1661321100688324182,35655,1661321100688324182,imu,-0.540976,-0.024277,-0.868141
1661321100693288105,35656,1661321100693288105,imu,-0.54137,-0.023538,-0.868263
1661321100698211171,35657,1661321100698211171,imu,-0.541394,-0.023279,-0.86806
1661321100706144858,35658,1661321100706144858,imu,-0.541764,-0.023465,-0.867837
1661321100708352660,35659,1661321100708352660,imu,-0.542081,-0.02389,-0.867433
1661321100713325801,35660,1661321100713325801,imu,-0.541584,-0.024581,-0.867002
1661321100718394765,35661,1661321100718394765,imu,-0.541437,-0.024793,-0.866174
1661321100723282212,35662,1661321100723282212,imu,-0.541489,-0.024857,-0.865491
1661321100731694516,35663,1661321100731694516,imu,-0.542096,-0.024665,-0.864948
1661321100733305111,35664,1661321100733305111,imu,-0.542146,-0.024872,-0.863832
1661321100738319389,35665,1661321100738319389,imu,-0.541718,-0.025184,-0.862873
1661321100746489136,35666,1661321100746489136,imu,-0.541156,-0.025353,-0.862251
1661321100748244930,35667,1661321100748244930,imu,-0.541551,-0.024988,-0.861506
1661321100753448615,35668,1661321100753448615,imu,-0.540969,-0.024655,-0.861287
1661321100758359389,35669,1661321100758359389,imu,-0.539941,-0.0242,-0.861021
1661321100763273376,35670,1661321100763273376,imu,-0.539513,-0.024359,-0.861015
1661321100768477411,35671,1661321100768477411,imu,-0.539434,-0.024375,-0.860839
1661321100773320160,35672,1661321100773320160,imu,-0.539367,-0.024137,-0.860853
1661321100778237919,35673,1661321100778237919,imu,-0.5392,-0.024465,-0.861535
1661321100789908218,35674,1661321100789908218,imu,-0.539423,-0.024467,-0.862223
1661321100790330964,35675,1661321100790330964,imu,-0.539429,-0.024563,-0.862933
1661321100793322447,35676,1661321100793322447,imu,-0.539162,-0.024549,-0.863758
1661321100798476686,35677,1661321100798476686,imu,-0.538868,-0.024266,-0.864617
1661321100803361270,35678,1661321100803361270,imu,-0.539047,-0.024296,-0.865362
1661321100808314297,35679,1661321100808314297,imu,-0.539779,-0.024075,-0.865707
1661321100813275566,35680,1661321100813275566,imu,-0.540181,-0.024174,-0.866488
1661321100818352771,35681,1661321100818352771,imu,-0.540084,-0.024036,-0.866837
1661321100828066974,35682,1661321100828066974,imu,-0.540286,-0.024276,-0.867109
1661321100828517376,35683,1661321100828517376,imu,-0.540026,-0.024352,-0.867321
1661321100833292659,35684,1661321100833292659,imu,-0.539987,-0.02427,-0.867711
1661321100838443336,35685,1661321100838443336,imu,-0.539994,-0.024162,-0.867773
1661321100843256333,35686,1661321100843256333,imu,-0.540331,-0.023728,-0.868067
1661321100848220955,35687,1661321100848220955,imu,-0.540313,-0.023984,-0.868072
