%time,field.header.seq,field.header.stamp,field.header.frame_id,field.vector.x,field.vector.y,field.vector.z
1661312214842981256,30957,1661312214842981256,imu,-0.411936,-0.851113,0.009144
1661312214847953943,30958,1661312214847953943,imu,-0.411643,-0.852032,0.009468
1661312214852896178,30959,1661312214852896178,imu,-0.411897,-0.852348,0.009781
1661312214857976283,30960,1661312214857976283,imu,-0.411888,-0.852527,0.01004
1661312214862935141,30961,1661312214862935141,imu,-0.41178,-0.853052,0.010078
1661312214867871230,30962,1661312214867871230,imu,-0.411632,-0.852954,0.010127
1661312214872981856,30963,1661312214872981856,imu,-0.411559,-0.853501,0.010201
1661312214885352530,30964,1661312214885352530,imu,-0.411671,-0.85368,0.010422
1661312214885840035,30965,1661312214885840035,imu,-0.410758,-0.853571,0.010463
1661312214888002516,30966,1661312214888002516,imu,-0.41037,-0.853419,0.010572
1661312214893065300,30967,1661312214893065300,imu,-0.410208,-0.852999,0.010748
1661312214897901863,30968,1661312214897901863,imu,-0.411234,-0.853452,0.010946
1661312214902856809,30969,1661312214902856809,imu,-0.411837,-0.853339,0.011202
1661312214908001659,30970,1661312214908001659,imu,-0.411848,-0.853611,0.011227
1661312214913078901,30971,1661312214913078901,imu,-0.411098,-0.853778,0.0111
1661312214918056965,30972,1661312214918056965,imu,-0.410801,-0.854633,0.011019
1661312214930638216,30973,1661312214930638216,imu,-0.410937,-0.854955,0.010971
1661312214931057135,30974,1661312214931057135,imu,-0.411441,-0.854821,0.010897
1661312214932984105,30975,1661312214932984105,imu,-0.411851,-0.855167,0.010431
1661312214937926340,30976,1661312214937926340,imu,-0.411782,-0.855862,0.010447
1661312214942983537,30977,1661312214942983537,imu,-0.411259,-0.855355,0.010394
1661312214947913410,30978,1661312214947913410,imu,-0.410664,-0.855422,0.010437
1661312214952867239,30979,1661312214952867239,imu,-0.410394,-0.855524,0.010838
1661312214957984570,30980,1661312214957984570,imu,-0.410366,-0.855895,0.011052
