%time,field.header.seq,field.header.stamp,field.header.frame_id,field.vector.x,field.vector.y,field.vector.z
1661303352715907637,10543,1661303352715907637,imu,-0.112966,-2.036526,3.113717
1661303352716071755,10544,1661303352716071755,imu,-0.112948,-2.036783,3.11373
1661303352718250396,10545,1661303352718250396,imu,-0.112979,-2.03751,3.113866
1661303352723371211,10546,1661303352723371211,imu,-0.112836,-2.038271,3.114108
1661303352728371695,10547,1661303352728371695,imu,-0.113043,-2.038196,3.114126
1661303352733279296,10548,1661303352733279296,imu,-0.113145,-2.037752,3.114122
1661303352738482658,10549,1661303352738482658,imu,-0.113109,-2.037358,3.114005
1661303352743323425,10550,1661303352743323425,imu,-0.112941,-2.03754,3.114068
1661303352748486281,10551,1661303352748486281,imu,-0.113098,-2.037835,3.114049
1661303352756733288,10552,1661303352756733288,imu,-0.113361,-2.038353,3.114736
1661303352758524124,10553,1661303352758524124,imu,-0.112364,-2.038891,3.114955
1661303352763348689,10554,1661303352763348689,imu,-0.112067,-2.039694,3.115194
1661303352768335695,10555,1661303352768335695,imu,-0.111891,-2.039382,3.115692
1661303352773363556,10556,1661303352773363556,imu,-0.112031,-2.038577,3.1158
1661303352778343508,10557,1661303352778343508,imu,-0.112593,-2.037787,3.115239
1661303352783324229,10558,1661303352783324229,imu,-0.112477,-2.037542,3.115244
1661303352788398043,10559,1661303352788398043,imu,-0.113034,-2.037129,3.115418
1661303352801515079,10560,1661303352801515079,imu,-0.112388,-2.037336,3.115772
1661303352801856583,10561,1661303352801856583,imu,-0.111739,-2.037535,3.115752
1661303352803535888,10562,1661303352803535888,imu,-0.11118,-2.038837,3.115816
1661303352808406127,10563,1661303352808406127,imu,-0.110873,-2.039883,3.115759
1661303352813344526,10564,1661303352813344526,imu,-0.111005,-2.039329,3.115566
1661303352818234598,10565,1661303352818234598,imu,-0.111,-2.037668,3.115923
1661303352823359323,10566,1661303352823359323,imu,-0.110739,-2.03662,3.116173
1661303352828317975,10567,1661303352828317975,imu,-0.109614,-2.035097,3.116265
1661303352833264406,10568,1661303352833264406,imu,-0.10936,-2.034804,3.116577
1661303352840919752,10569,1661303352840919752,imu,-0.109624,-2.034879,3.116814
1661303352843447440,10570,1661303352843447440,imu,-0.109508,-2.035022,3.116985
1661303352848319355,10571,1661303352848319355,imu,-0.109873,-2.035719,3.117109
1661303352853310411,10572,1661303352853310411,imu,-0.109894,-2.035946,3.116939
1661303352858332965,10573,1661303352858332965,imu,-0.109636,-2.036138,3.117071
1661303352863318225,10574,1661303352863318225,imu,-0.109494,-2.035977,3.117112
1661303352868349298,10575,1661303352868349298,imu,-0.109556,-2.035608,3.116606
1661303352873694778,10576,1661303352873694778,imu,-0.109403,-2.035739,3.116797
1661303352878318840,10577,1661303352878318840,imu,-0.108908,-2.035525,3.116959
1661303352883277492,10578,1661303352883277492,imu,-0.108894,-2.035806,3.117371
1661303352888237122,10579,1661303352888237122,imu,-0.109238,-2.036422,3.117407
1661303352893358844,10580,1661303352893358844,imu,-0.109683,-2.036767,3.117181
1661303352898264769,10581,1661303352898264769,imu,-0.110088,-2.036679,3.117107
1661303352903252125,10582,1661303352903252125,imu,-0.110994,-2.03668,3.117196
1661303352908352756,10583,1661303352908352756,imu,-0.11125,-2.036549,3.11737
1661303352913323001,10584,1661303352913323001,imu,-0.111979,-2.036124,3.117733
