%time,field.header.seq,field.header.stamp,field.header.frame_id,field.vector.x,field.vector.y,field.vector.z
1661137920120544785,1058,1661137920120544785,,-40.070526123,-0.151275634766,0.0
1661137920125483479,1059,1661137920125483479,,-40.1469116211,-0.150543212891,0.0
1661137920130422521,1060,1661137920130422521,,-40.1026611328,-0.192749023438,0.0
1661137920135383075,1061,1661137920135383075,,-40.0895690918,-0.151153564453,0.0
1661137920147079035,1062,1661137920147079035,,-40.1829223633,-0.0943298339844,0.0
1661137920147378302,1063,1661137920147378302,,-40.0216064453,0.0156934447587,0.0
1661137920150413565,1064,1661137920150413565,,-40.0180664062,-0.040283203125,0.0
1661137920155571348,1065,1661137920155571348,,-40.2066345215,-0.0661010742188,0.0
1661137920160476867,1066,1661137920160476867,,-40.1738891602,-0.0944213867188,0.0
1661137920165429179,1067,1661137920165429179,,-40.1796569824,-0.0803833007812,0.0
1661137920170537096,1068,1661137920170537096,,-40.2046813965,-0.163879394531,0.0
1661137920175496671,1069,1661137920175496671,,-40.1992797852,-0.0801696777344,0.0
1661137920180462114,1070,1661137920180462114,,-40.174041748,-0.150299072266,0.0
1661137920187184391,1071,1661137920187184391,,-40.2657470703,-0.0656433105469,0.0
1661137920190517174,1072,1661137920190517174,,-40.228729248,-0.135711669922,0.0
1661137920195484642,1073,1661137920195484642,,-40.2581176758,-0.233001708984,0.0
1661137920200407621,1074,1661137920200407621,,-40.28515625,-0.218811035156,0.0
1661137920205561423,1075,1661137920205561423,,-40.2181396484,-0.163787841797,0.0
1661137920210485520,1076,1661137920210485520,,-40.2652893066,-0.176971435547,0.0
1661137920215426239,1077,1661137920215426239,,-40.2628479004,-0.260772705078,0.0
1661137920220573336,1078,1661137920220573336,,-40.2122802734,-0.16357421875,0.0
1661137920234504119,1079,1661137920234504119,,-40.266998291,-0.218963623047,0.0
1661137920234857092,1080,1661137920234857092,,-40.3739318848,-0.175842285156,0.0
1661137920235392349,1081,1661137920235392349,,-40.3315429688,-0.162353515625,0.0
1661137920240678010,1082,1661137920240678010,,-40.3743286133,-0.217895507812,0.0
1661137920245461378,1083,1661137920245461378,,-40.2681884766,-0.177032470703,0.0
1661137920250400141,1084,1661137920250400141,,-40.251159668,-0.121307373047,0.0
1661137920255534457,1085,1661137920255534457,,-40.3592834473,-0.231903076172,0.0
1661137920260487957,1086,1661137920260487957,,-40.3271179199,-0.176391601562,0.0
1661137920265432587,1087,1661137920265432587,,-40.3266601562,-0.120513916016,0.0
1661137920276661734,1088,1661137920276661734,,-40.2376098633,-0.135406494141,0.0
1661137920277220178,1089,1661137920277220178,,-40.2981567383,-0.134796142578,0.0
1661137920280445826,1090,1661137920280445826,,-40.2239379883,-0.107666015625,0.0
1661137920285497731,1091,1661137920285497731,,-40.0868835449,-0.136962890625,0.0
1661137920290519604,1092,1661137920290519604,,-40.3167724609,-0.204467773438,0.0
1661137920295498246,1093,1661137920295498246,,-40.2002258301,-0.177703857422,0.0
1661137920300422553,1094,1661137920300422553,,-39.0633544922,-0.939514160156,0.0
1661137920305533822,1095,1661137920305533822,,-39.5249023438,-0.837707519531,0.0
1661137920310509950,1096,1661137920310509950,,-39.9556884766,0.460850596428,0.0
1661137920315448852,1097,1661137920315448852,,-40.2214355469,0.51922917366,0.0
1661137920320430777,1098,1661137920320430777,,-39.697052002,0.165970951319,0.0
1661137920325533665,1099,1661137920325533665,,-39.8044433594,-0.0562438964844,0.0
1661137920330459717,1100,1661137920330459717,,-40.109161377,-0.136749267578,0.0
1661137920335411541,1101,1661137920335411541,,-40.3442993164,-0.246185302734,0.0
1661137920340522181,1102,1661137920340522181,,-40.5083618164,-0.132629394531,0.0
1661137920345468557,1103,1661137920345468557,,-40.7961730957,-0.171630859375,0.0
1661137920354146854,1104,1661137920354146854,,-40.8316345215,-0.185333251953,0.0
1661137920355626074,1105,1661137920355626074,,-41.1107177734,-0.112426757812,0.0
1661137920360613795,1106,1661137920360613795,,-41.238067627,-0.251129150391,0.0
1661137920365422236,1107,1661137920365422236,,-41.4225158691,-0.109191894531,0.0
1661137920370380135,1108,1661137920370380135,,-41.4612731934,-0.0104064941406,0.0
1661137920375497062,1109,1661137920375497062,,-41.7024841309,-0.176513671875,0.0
1661137920380447837,1110,1661137920380447837,,-41.2058410645,-0.237213134766,0.0
1661137920385385972,1111,1661137920385385972,,-40.9667663574,-0.365631103516,0.0
1661137920394393986,1112,1661137920394393986,,-40.7652282715,-0.255950927734,0.0
1661137920395526448,1113,1661137920395526448,,-40.4480895996,-0.161254882812,0.0
1661137920400434341,1114,1661137920400434341,,-40.0358886719,-0.109619140625,0.0
1661137920405530106,1115,1661137920405530106,,-39.7382202148,-0.22412109375,0.0
1661137920410523135,1116,1661137920410523135,,-39.6322631836,-0.11376953125,0.0
1661137920415428445,1117,1661137920415428445,,-39.4607849121,-0.198913574219,0.0
1661137920420404991,1118,1661137920420404991,,-39.422668457,-0.115966796875,0.0
1661137920425524851,1119,1661137920425524851,,-39.3400268555,-0.186279296875,0.0
1661137920438579137,1120,1661137920438579137,,-39.3380432129,-0.172424316406,0.0
1661137920439119632,1121,1661137920439119632,,-39.2969360352,-0.200775146484,0.0
1661137920440589004,1122,1661137920440589004,,-39.5336914062,-0.031494140625,0.0
1661137920445500320,1123,1661137920445500320,,-39.5387268066,-0.00326538085938,0.0
1661137920450414499,1124,1661137920450414499,,-39.8729248047,-0.13916015625,0.0
1661137920455354520,1125,1661137920455354520,,-39.9874572754,-0.165863037109,0.0
1661137920460499172,1126,1661137920460499172,,-40.1045227051,-0.0949401855469,0.0
1661137920465443383,1127,1661137920465443383,,-40.3010253906,-0.134796142578,0.0
1661137920470379423,1128,1661137920470379423,,-40.387878418,-0.0359497070312,0.0
1661137920481916008,1129,1661137920481916008,,-40.6068725586,-0.145599365234,0.0
1661137920482227077,1130,1661137920482227077,,-40.6781311035,-0.0888671875,0.0
1661137920485474515,1131,1661137920485474515,,-40.7593688965,-0.102142333984,0.0
1661137920490629155,1132,1661137920490629155,,-40.5760192871,-0.0759582519531,0.0
1661137920495468396,1133,1661137920495468396,,-40.6461486816,-0.131195068359,0.0
1661137920500423152,1134,1661137920500423152,,-40.6413269043,-0.145233154297,0.0
1661137920505363941,1135,1661137920505363941,,-40.5796203613,-0.159881591797,0.0
1661137920510486734,1136,1661137920510486734,,-40.5352478027,-0.258392333984,0.0
1661137920526123019,1137,1661137920526123019,,-40.4374084473,-0.175262451172,0.0
1661137920526698784,1138,1661137920526698784,,-40.3137207031,-0.204559326172,0.0
1661137920527211202,1139,1661137920527211202,,-40.3797607422,-0.147888183594,0.0
1661137920530573040,1140,1661137920530573040,,-40.1627502441,-0.205993652344,0.0
1661137920535528634,1141,1661137920535528634,,-40.0394592285,-0.235076904297,0.0
1661137920540380167,1142,1661137920540380167,,-40.1578674316,-0.13623046875,0.0
1661137920545492344,1143,1661137920545492344,,-40.0213623047,-0.221282958984,0.0
1661137920550438091,1144,1661137920550438091,,-40.0068359375,-0.137786865234,0.0
1661137920555392079,1145,1661137920555392079,,-40.0534362793,-0.137329101562,0.0
1661137920560543716,1146,1661137920560543716,,-40.0148925781,-0.221466064453,0.0
1661137920568721188,1147,1661137920568721188,,-39.9914550781,-0.151916503906,0.0
1661137920570532079,1148,1661137920570532079,,-40.0475463867,-0.123413085938,0.0
1661137920575704109,1149,1661137920575704109,,-40.1296081543,-0.178344726562,0.0
1661137920580476234,1150,1661137920580476234,,-40.0683898926,-0.151153564453,0.0
1661137920585421911,1151,1661137920585421911,,-40.1149291992,0.0310314204544,0.0
1661137920590533878,1152,1661137920590533878,,-40.2816467285,0.00454592052847,0.0
1661137920595486191,1153,1661137920595486191,,-40.377746582,-0.0920715332031,0.0
1661137920600426141,1154,1661137920600426141,,-40.2524719238,0.0324775874615,0.0
1661137920606367393,1155,1661137920606367393,,-40.2060546875,-0.163696289062,0.0
1661137920610499290,1156,1661137920610499290,,-40.3195800781,-0.176452636719,0.0
1661137920615441755,1157,1661137920615441755,,-40.2791748047,-0.0512084960938,0.0
1661137920620396093,1158,1661137920620396093,,-40.2129211426,-0.0937194824219,0.0
1661137920625505406,1159,1661137920625505406,,-40.2590332031,-0.163116455078,0.0
1661137920630474899,1160,1661137920630474899,,-40.2560424805,0.00416238512844,0.0
1661137920635414221,1161,1661137920635414221,,-40.3384399414,-0.273742675781,0.0
1661137920648015104,1162,1661137920648015104,,-40.2730102539,-0.204833984375,0.0
1661137920648327640,1163,1661137920648327640,,-40.1840515137,-0.219696044922,0.0
1661137920650502819,1164,1661137920650502819,,-40.2593688965,-0.205017089844,0.0
1661137920655437112,1165,1661137920655437112,,-40.13671875,-0.1923828125,0.0
1661137920660538603,1166,1661137920660538603,,-40.1585388184,-0.219879150391,0.0
1661137920665443983,1167,1661137920665443983,,-40.2053527832,-0.2333984375,0.0
1661137920670383095,1168,1661137920670383095,,-40.1634521484,-0.303680419922,0.0
1661137920675508821,1169,1661137920675508821,,-40.0826721191,-0.206817626953,0.0
1661137920680465394,1170,1661137920680465394,,-40.195892334,-0.2197265625,0.0
1661137920690363384,1171,1661137920690363384,,-40.2668762207,-0.204986572266,0.0
1661137920690710909,1172,1661137920690710909,,-40.1538391113,-0.220031738281,0.0
1661137920696318534,1173,1661137920696318534,,-40.2487792969,-0.205139160156,0.0
1661137920700483326,1174,1661137920700483326,,-40.1035461426,-0.164703369141,0.0
1661137920705400299,1175,1661137920705400299,,-40.1628723145,-0.219940185547,0.0
1661137920710524349,1176,1661137920710524349,,-40.1409912109,-0.136413574219,0.0
1661137920715449004,1177,1661137920715449004,,-40.0841674805,-0.192840576172,0.0
1661137920720416332,1178,1661137920720416332,,-40.030090332,-0.0816650390625,0.0
1661137920732411000,1179,1661137920732411000,,-40.1846923828,-0.108062744141,0.0
1661137920732883680,1180,1661137920732883680,,-40.1855163574,-0.0660705566406,0.0
1661137920735513660,1181,1661137920735513660,,-40.2226257324,-0.135589599609,0.0
1661137920740748267,1182,1661137920740748267,,-40.28125,-0.107055664062,0.0
1661137920745487915,1183,1661137920745487915,,-40.2901611328,-0.0929870605469,0.0
1661137920750441135,1184,1661137920750441135,,-40.262878418,-0.079345703125,0.0
1661137920755378990,1185,1661137920755378990,,-40.2951660156,0.00487410882488,0.0
1661137920760504228,1186,1661137920760504228,,-40.2143249512,-0.0519409179688,0.0
1661137920765466178,1187,1661137920765466178,,-40.2794494629,-0.0791320800781,0.0
1661137920775217922,1188,1661137920775217922,,-40.1825866699,-0.05224609375,0.0
1661137920775517537,1189,1661137920775517537,,-40.1600952148,-0.0803527832031,0.0
1661137920780545556,1190,1661137920780545556,,-40.2077941895,-0.149658203125,0.0
1661137920785417971,1191,1661137920785417971,,-40.2425842285,-0.17724609375,0.0
1661137920790378734,1192,1661137920790378734,,-40.2222290039,-0.289154052734,0.0
1661137920795491190,1193,1661137920795491190,,-40.2327270508,-0.275054931641,0.0
1661137920800437706,1194,1661137920800437706,,-40.2177734375,-0.275054931641,0.0
1661137920805564130,1195,1661137920805564130,,-40.2052307129,-0.219451904297,0.0
1661137920815890241,1196,1661137920815890241,,-40.2113647461,-0.247406005859,0.0
1661137920816421098,1197,1661137920816421098,,-40.2295532227,-0.26123046875,0.0
1661137920820483015,1198,1661137920820483015,,-40.2733154297,-0.246704101562,0.0
1661137920825425620,1199,1661137920825425620,,-40.3001708984,-0.20458984375,0.0
1661137920830476617,1200,1661137920830476617,,-40.1859130859,-0.261505126953,0.0
1661137920835421526,1201,1661137920835421526,,-40.2563781738,-0.219085693359,0.0
1661137920840382568,1202,1661137920840382568,,-40.4096069336,-0.0917053222656,0.0
1661137920845493627,1203,1661137920845493627,,-40.3116760254,-0.134643554688,0.0
1661137920856668998,1204,1661137920856668998,,-40.3330688477,-0.162322998047,0.0
1661137920856989286,1205,1661137920856989286,,-40.3262634277,-0.07861328125,0.0
