%time,field.header.seq,field.header.stamp,field.header.frame_id,field.vector.x,field.vector.y,field.vector.z
1661137938240193857,4682,1661137938240193857,imu,-13.232836,163.44928,-78.988296
1661137938245122910,4683,1661137938245122910,imu,-13.05473,163.135536,-79.10908
1661137938250264488,4684,1661137938250264488,imu,-12.828553,162.812016,-79.249264
1661137938255157154,4685,1661137938255157154,imu,-12.552761,162.475104,-79.411096
1661137938260190759,4686,1661137938260190759,imu,-12.228461,162.124736,-79.594776
1661137938265043966,4687,1661137938265043966,imu,-11.862892,161.763008,-79.79584
1661137938270198464,4688,1661137938270198464,imu,-11.469312,161.392464,-80.006
1661137938283180949,4689,1661137938283180949,imu,-11.055389,161.017216,-80.218208
1661137938283446412,4690,1661137938283446412,imu,-10.633729,160.639872,-80.427424
1661137938285281398,4691,1661137938285281398,imu,-10.21455,160.26016,-80.625424
1661137938290248934,4692,1661137938290248934,imu,-9.803464,159.87456,-80.807904
1661137938295103677,4693,1661137938295103677,imu,-9.400599,159.484384,-80.972256
1661137938300219204,4694,1661137938300219204,imu,-9.002407,159.094,-81.12068
1661137938305170048,4695,1661137938305170048,imu,-8.60222,158.708064,-81.261304
1661137938310105038,4696,1661137938310105038,imu,-8.199502,158.331056,-81.399024
1661137938315038212,4697,1661137938315038212,imu,-7.804007,157.963504,-81.534816
1661137938322440662,4698,1661137938322440662,imu,-7.435643,157.606144,-81.66628
1661137938325174144,4699,1661137938325174144,imu,-7.11808,157.260736,-81.79432
1661137938330125965,4700,1661137938330125965,imu,-6.909694,156.930592,-81.937528
1661137938335170115,4701,1661137938335170115,imu,-6.779236,156.611584,-82.073592
1661137938340157835,4702,1661137938340157835,imu,-6.735039,156.30256,-82.174248
1661137938345077530,4703,1661137938345077530,imu,-6.772956,156.004944,-82.20792
1661137938350035008,4704,1661137938350035008,imu,-6.87634,155.71904,-82.176168
1661137938355153399,4705,1661137938355153399,imu,-7.042724,155.434176,-82.095432
1661137938364436510,4706,1661137938364436510,imu,-7.258252,155.136384,-81.987144
1661137938365267331,4707,1661137938365267331,imu,-7.496486,154.813344,-81.870616
1661137938370223482,4708,1661137938370223482,imu,-7.830275,154.403328,-81.727376
1661137938375269518,4709,1661137938375269518,imu,-8.248078,153.945248,-81.569768
1661137938380137950,4710,1661137938380137950,imu,-8.686131,153.47552,-81.425648
1661137938385198374,4711,1661137938385198374,imu,-9.088863,153.007824,-81.290192
1661137938390145865,4712,1661137938390145865,imu,-9.432604,152.553264,-81.1602
1661137938395091610,4713,1661137938395091610,imu,-9.701395,152.125376,-81.042112
1661137938410113714,4714,1661137938410113714,imu,-9.890397,151.733328,-80.946464
1661137938410497696,4715,1661137938410497696,imu,-10.007884,151.38072,-80.877792
1661137938410809673,4716,1661137938410809673,imu,-10.054782,151.07328,-80.841984
1661137938415128601,4717,1661137938415128601,imu,-10.045322,150.80856,-80.83952
1661137938420204389,4718,1661137938420204389,imu,-9.990696,150.588208,-80.872576
1661137938425149366,4719,1661137938425149366,imu,-9.894765,150.41904,-80.939064
1661137938430098324,4720,1661137938430098324,imu,-9.763268,150.299776,-81.02572
1661137938435271120,4721,1661137938435271120,imu,-9.603606,150.231584,-81.119304
1661137938440218961,4722,1661137938440218961,imu,-9.418783,150.22352,-81.21044
1661137938449602642,4723,1661137938449602642,imu,-9.211524,150.290672,-81.290576
1661137938450105842,4724,1661137938450105842,imu,-8.992289,150.445488,-81.346216
1661137938455227445,4725,1661137938455227445,imu,-8.775782,150.678704,-81.356896
1661137938460188625,4726,1661137938460188625,imu,-8.576413,150.9688,-81.290104
1661137938465064600,4727,1661137938465064600,imu,-8.404495,151.29112,-81.12812
1661137938470183549,4728,1661137938470183549,imu,-8.263002,151.650448,-80.898368
1661137938475144799,4729,1661137938475144799,imu,-8.151302,152.042064,-80.633304
1661137938480105560,4730,1661137938480105560,imu,-8.073035,152.439456,-80.344704
1661137938492891305,4731,1661137938492891305,imu,-8.038294,152.816496,-80.026864
1661137938493261738,4732,1661137938493261738,imu,-8.0317,153.177968,-79.686152
1661137938495160209,4733,1661137938495160209,imu,-8.045676,153.517984,-79.341344
